Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.121,48.4,45803.0,939.0,HRB, ,48.4,1,3,0
Grade_26,0.121,48.4,45803.0,940.0,HRB, ,48.4,1,3,0
Grade_26,0.121,48.4,45803.0,939.0,HRB, ,48.4,1,3,0
Grade_26,0.24,43.9,60182.63553530751,1272.0,M, ,46.9,1,3,0
Grade_26,0.24,43.9,58257.81776765376,1272.0,M, ,45.4,1,3,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,2,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,2,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,2,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,2,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,2,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,2,2,0
Grade_26,0.11,52.9,46295.0,868.0,HRB, ,52.9,2,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,2,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,2,2,0
Grade_26,0.11,52.9,46295.0,868.0,HRB, ,52.9,2,2,0
Grade_26,0.121,48.4,45803.0,940.0,HRB, ,48.4,2,3,0
Grade_26,0.121,48.4,45803.0,940.0,HRB, ,48.4,2,3,0
Grade_26,0.175,44.9,60193.90423162584,1270.0,M, ,46.9,2,3,0
Grade_26,0.24,43.9,58257.81776765376,1272.0,M, ,45.4,2,3,0
Grade_26,0.24,43.9,56333.0,1272.0,M, ,43.9,2,3,0
