Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_11,0.185,44.0,52537.93363636364,1277.16,C, ,47.53,1,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,1,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,1,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,1,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,1,1,0
Grade_11,0.08,44.344,53235.0,1182.96,C, ,44.344,1,2,0
Grade_11,0.08,44.344,53235.0,1182.96,C, ,44.344,1,2,0
Grade_11,0.08,43.625,48662.0,1099.2,C, ,43.625,1,2,0
Grade_11,0.106,42.5,49509.0,1147.92,C, ,42.5,1,2,0
Grade_11,0.106,42.5,49509.0,1147.92,C, ,42.5,1,2,0
Grade_11,0.095,37.625,48636.0,1273.8,C, ,37.625,1,3,0
Grade_11,0.095,37.625,48636.0,1273.8,C, ,37.625,1,3,0
Grade_11,0.09,37.625,38084.0,997.44,C, ,37.625,1,3,0
Grade_11,0.085,37.594,31762.1694951322,831.84,C, ,37.625,1,3,0
Grade_11,0.08,37.625,38084.0,997.44,C, ,37.625,1,3,0
Grade_11,0.185,44.0,52537.93363636364,1277.16,C, ,47.53,2,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,2,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,2,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,2,1,0
Grade_11,0.135,47.53,58910.0,1221.36,M, ,47.53,2,1,0
Grade_11,0.08,44.344,53235.0,1182.96,C, ,44.344,2,2,0
Grade_11,0.08,44.344,53235.0,1182.96,C, ,44.344,2,2,0
Grade_11,0.106,42.5,49909.73167058823,1147.92,C, ,42.844,2,2,0
Grade_11,0.106,42.5,49509.0,1147.92,C, ,42.5,2,2,0
Grade_11,0.106,42.5,49509.0,1147.92,C, ,42.5,2,2,0
Grade_11,0.095,37.625,48636.0,1273.8,C, ,37.625,2,3,0
Grade_11,0.095,37.625,48636.0,1273.8,C, ,37.625,2,3,0
Grade_11,0.09,37.625,38084.0,997.44,C, ,37.625,2,3,0
Grade_11,0.08,37.625,38084.0,997.44,C, ,37.625,2,3,0
Grade_11,0.08,37.625,46547.0,1219.08,C, ,37.625,2,3,0
